model,test_case,n_type,test_type,lang,spec,prompt_style,trials,successes,success_rate,ci_lower,ci_upper,success_rate_percent,ci_lower_percent,ci_upper_percent,rate_with_ci
deepscaler-1.5b,get_magic_number,n=03,forgiving,en,minilang,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,en,minilang_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,en,pseudocode,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,en,pseudocode_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,en,s_expression,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,en,s_expression_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,ja,minilang,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,ja,minilang_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,ja,pseudocode,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,ja,pseudocode_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,ja,s_expression,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,forgiving,ja,s_expression_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,en,minilang,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,en,minilang_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,en,pseudocode,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,en,pseudocode_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,en,s_expression,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,en,s_expression_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,ja,minilang,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,ja,minilang_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,ja,pseudocode,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,ja,pseudocode_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,ja,s_expression,fewshot,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
deepscaler-1.5b,get_magic_number,n=03,strict,ja,s_expression_hyper,guided,3,0,0.0,0.0,0.5614970317550455,0.0,0.0,56.14970317550455,0.0% (95% CI: 0.0-56.1)
